Station_ID,Latitude,Longitude,Altitude(ft)
MCW_01,43.64792811,-115.9897596,3080-3580
MCW_02,43.74783308,-115.8804603,3580-4080
MCW_03,43.7511991,-115.9428652,4080-4580
MCW_04,43.79962177,-115.7885124,4580-5080
MCW_05,43.90746942,-115.6930072,5080-5580
MCW_06,43.92414139,-115.6825098,5580-6080
MCW_07,43.9319943,-115.66589,6080-6580
MCW_08,43.93639134,-115.679588,6580-7080
MCW_09,43.94413863,-115.6832378,7080-7580
MCW_10,43.95814402,-115.6924836,7580-8080
MCW_SW,43.82028478,-115.8050708,3905
